country_code,metric_year,public_pension_spending_pct_gdp,old_age_dependency_ratio,country
AUS,2010,4.44,20.0725746708257,Australia
AUS,2011,4.681,20.5282558448571,Australia
AUS,2012,4.783,21.0375343205585,Australia
AUS,2013,4.978,21.5386207048104,Australia
AUS,2014,5.182,22.023452328806,Australia
AUS,2015,5.303,22.5076119973565,Australia
AUS,2016,5.163,22.9691602900349,Australia
AUS,2017,4.984,23.3956977573784,Australia
AUS,2018,4.974,23.8439530509551,Australia
AUS,2019,5.349,24.383152985158,Australia
AUS,2020,5.291,25.0972747499351,Australia
AUS,2021,4.579,25.8365969160502,Australia
AUS,2022,4.501,26.3953996352404,Australia
CAN,2010,5.111,20.3517712526114,Canada
CAN,2011,5.085,20.8677195198989,Canada
CAN,2012,5.26,21.5255099255067,Canada
CAN,2013,5.365,22.2317032546435,Canada
CAN,2014,5.422,22.9295596532934,Canada
CAN,2015,5.626,23.628805646746,Canada
CAN,2016,5.674,24.3182237048516,Canada
CAN,2017,5.83,24.9861815767739,Canada
CAN,2018,5.945,25.64886923064,Canada
CAN,2019,6.078,26.3697715591015,Canada
CAN,2020,6.377,27.1936414105089,Canada
CAN,2021,6.127,28.0993647538034,Canada
CAN,2022,5.867,28.9121642638266,Canada
CHE,2010,6.371,24.7439091161553,Switzerland
CHE,2011,6.494,25.1194735733784,Switzerland
CHE,2012,6.56,25.5482654953989,Switzerland
CHE,2013,6.627,25.9297862184629,Switzerland
CHE,2014,6.674,26.2794976198995,Switzerland
CHE,2015,6.789,26.600375792311,Switzerland
CHE,2016,6.82,26.8890664365194,Switzerland
CHE,2017,6.875,27.2172858671818,Switzerland
CHE,2018,6.743,27.5986069356356,Switzerland
CHE,2019,6.844,27.9908017758454,Switzerland
CHE,2020,7.158,28.3270521862764,Switzerland
CHE,2021,6.825,28.6818891760097,Switzerland
DEU,2010,11.301,31.2836478267731,Germany
DEU,2011,10.849,31.1406005583242,Germany
DEU,2012,10.863,31.282652731417,Germany
DEU,2013,10.802,31.5565826945796,Germany
DEU,2014,10.713,31.8220023900549,Germany
DEU,2015,10.847,32.0268681402872,Germany
DEU,2016,10.878,32.2482094758743,Germany
DEU,2017,10.957,32.6342617227857,Germany
DEU,2018,10.994,33.0059176113602,Germany
DEU,2019,11.214,33.4240838892073,Germany
DEU,2020,12.028,33.9237851682177,Germany
DEU,2021,11.623,34.5810372816215,Germany
DNK,2010,9.004,25.2977157681948,Denmark
DNK,2011,9.221,26.2152206030886,Denmark
DNK,2012,9.425,27.1511653887084,Denmark
DNK,2013,9.48,27.9389362630433,Denmark
DNK,2014,9.673,28.5624180835741,Denmark
DNK,2015,9.742,29.0522368255997,Denmark
DNK,2016,9.527,29.4676533467749,Denmark
DNK,2017,9.568,29.9032046622709,Denmark
DNK,2018,9.915,30.3719939261675,Denmark
DNK,2019,9.995,30.8727053737307,Denmark
DNK,2020,10.072,31.4020237570544,Denmark
DNK,2021,9.282,31.8477329673783,Denmark
ESP,2010,9.796,24.7740949344745,Spain
ESP,2011,10.274,25.3142334183364,Spain
ESP,2012,10.924,25.8678392737669,Spain
ESP,2013,11.514,26.6124143353727,Spain
ESP,2014,11.765,27.3726154630625,Spain
ESP,2015,11.512,27.8985100219629,Spain
ESP,2016,11.469,28.300560152026,Spain
ESP,2017,11.17,28.6958690580307,Spain
ESP,2018,11.36,29.0363941379669,Spain
ESP,2019,11.613,29.2912365372295,Spain
ESP,2020,13.274,29.5280163415616,Spain
ESP,2021,12.723,29.8942224729884,Spain
FRA,2010,13.606,25.9439893809411,France
FRA,2011,13.702,26.4831239219727,France
FRA,2012,14.004,27.3249374613418,France
FRA,2013,14.205,28.1795459733674,France
FRA,2014,14.272,29.0643577099352,France
FRA,2015,14.2,29.9691649530843,France
FRA,2016,14.24,30.7903475113013,France
FRA,2017,14.097,31.5247668711496,France
FRA,2018,14.059,32.2283943292714,France
FRA,2019,13.899,32.9295024945655,France
FRA,2020,14.882,33.5646318689425,France
FRA,2021,13.999,34.1156814854036,France
FRA,2022,13.803,34.7084265800964,France
GBR,2010,8.806,24.7915439530878,United Kingdom
GBR,2011,8.857,25.2596313867542,United Kingdom
GBR,2012,9.067,26.0082192507616,United Kingdom
GBR,2013,8.894,26.7118018356341,United Kingdom
GBR,2014,8.781,27.2278741375818,United Kingdom
GBR,2015,8.689,27.6148274119397,United Kingdom
GBR,2016,8.154,27.9357658270104,United Kingdom
GBR,2017,8.239,28.2812702483576,United Kingdom
GBR,2018,8.17,28.6623391144953,United Kingdom
GBR,2019,7.888,29.0585518127533,United Kingdom
GBR,2020,8.269,29.3337816380253,United Kingdom
GBR,2021,7.774,29.5030172797067,United Kingdom
GBR,2022,7.469,29.8395129838191,United Kingdom
GRC,2010,14.388,28.9355270010858,Greece
GRC,2011,16.159,29.6261792035129,Greece
GRC,2012,17.615,30.3927287216601,Greece
GRC,2013,16.272,31.1945667531886,Greece
GRC,2014,16.704,31.9815431678696,Greece
GRC,2015,17.605,32.713766269677,Greece
GRC,2016,17.37,33.3505055933744,Greece
GRC,2017,16.259,33.8784511452943,Greece
GRC,2018,15.836,34.3558336019507,Greece
GRC,2019,15.539,34.8041078249776,Greece
GRC,2020,17.942,35.3006788331396,Greece
GRC,2021,16.237,36.1728657951338,Greece
ITA,2010,15.44,31.2326756343854,Italy
ITA,2011,15.397,31.6788405703935,Italy
ITA,2012,15.799,32.2867062041103,Italy
ITA,2013,16.205,32.9423183657478,Italy
ITA,2014,16.083,33.653380830921,Italy
ITA,2015,16.066,34.2778491987872,Italy
ITA,2016,15.679,34.7850585973695,Italy
ITA,2017,15.547,35.2208453809116,Italy
ITA,2018,15.548,35.6479156493325,Italy
ITA,2019,15.767,36.1726489982207,Italy
ITA,2020,17.503,36.6475591282456,Italy
ITA,2021,16.163,37.1323464529951,Italy
JPN,2010,11.025,36.3570690356362,Japan
JPN,2011,9.777,37.5096383909559,Japan
JPN,2012,9.862,39.3517333824124,Japan
JPN,2013,9.809,41.3218704786427,Japan
JPN,2014,9.556,43.1329887093866,Japan
JPN,2015,9.511,44.6983766959767,Japan
JPN,2016,9.476,46.0338925686738,Japan
JPN,2017,9.47,47.089336376634,Japan
JPN,2018,9.498,47.9099218851132,Japan
JPN,2019,9.577,48.5194993042234,Japan
JPN,2020,9.826,49.1295400037183,Japan
JPN,2021,9.601,49.7439803746351,Japan
JPN,2022,9.393,50.0569286100223,Japan
KOR,2010,1.977,15.1359936224068,Korea
KOR,2011,2.023,15.5789415587946,Korea
KOR,2012,2.221,16.0082431817077,Korea
KOR,2013,2.258,16.516748195558,Korea
KOR,2014,2.504,17.0936824049145,Korea
KOR,2015,2.71,17.6779804083552,Korea
KOR,2016,2.735,18.2353000731619,Korea
KOR,2017,2.842,18.9764143023336,Korea
KOR,2018,2.985,19.8458040524492,Korea
KOR,2019,3.254,20.7697470386564,Korea
KOR,2020,3.715,21.955966668736,Korea
KOR,2021,3.761,23.2870478873057,Korea
KOR,2022,4.03,24.5912480325812,Korea
NLD,2010,6.848,22.756509778921,Netherlands
NLD,2011,6.985,23.5375719227291,Netherlands
NLD,2012,7.306,24.6155460407426,Netherlands
NLD,2013,7.498,25.5614595271364,Netherlands
NLD,2014,7.643,26.3783103912385,Netherlands
NLD,2015,7.631,27.0660399064305,Netherlands
NLD,2016,7.636,27.6296531011589,Netherlands
NLD,2017,7.457,28.1800289156454,Netherlands
NLD,2018,7.339,28.7377137071412,Netherlands
NLD,2019,7.272,29.2669350875926,Netherlands
NLD,2020,7.777,29.7959991452303,Netherlands
NLD,2021,7.464,30.318339068697,Netherlands
NOR,2010,7.266,22.6259416624911,Norway
NOR,2011,7.446,23.0531252824124,Norway
NOR,2012,7.592,23.5154488198338,Norway
NOR,2013,7.916,23.9321213235942,Norway
NOR,2014,8.317,24.345321180014,Norway
NOR,2015,8.839,24.7546547225283,Norway
NOR,2016,9.379,25.1750035450575,Norway
NOR,2017,9.221,25.6448861744119,Norway
NOR,2018,9.009,26.174151337689,Norway
NOR,2019,9.443,26.6925311275947,Norway
NOR,2020,10.148,27.2486384723804,Norway
NOR,2021,8.641,27.8329580040245,Norway
PRT,2010,12.11,27.9322121044555,Portugal
PRT,2011,12.763,28.5470527700779,Portugal
PRT,2012,13.076,29.1552947785469,Portugal
PRT,2013,14.01,29.9227629238709,Portugal
PRT,2014,14.015,30.7883442611588,Portugal
PRT,2015,13.458,31.5909819634228,Portugal
PRT,2016,13.18,32.4039593391788,Portugal
PRT,2017,12.83,33.2592921619942,Portugal
PRT,2018,12.64,34.082955832304,Portugal
PRT,2019,12.48,34.9418993381056,Portugal
PRT,2020,13.7,35.8351843124648,Portugal
PRT,2021,12.998,36.6418132752577,Portugal
SWE,2010,10.256,28.0678481775443,Sweden
SWE,2011,10.061,28.8039533939967,Sweden
SWE,2012,10.8,29.54390167558,Sweden
SWE,2013,11.152,30.2305596879473,Sweden
SWE,2014,10.915,30.8305807153804,Sweden
SWE,2015,10.681,31.2879485730226,Sweden
SWE,2016,10.71,31.5367498330485,Sweden
SWE,2017,10.725,31.6718061292206,Sweden
SWE,2018,10.606,31.8428077110083,Sweden
SWE,2019,10.418,32.0375957516213,Sweden
SWE,2020,10.915,32.2486474551443,Sweden
SWE,2021,10.297,32.4952203120634,Sweden
USA,2010,6.641,19.0418604669438,United States
USA,2011,6.741,19.4049702529798,United States
USA,2012,6.782,19.9302811207122,United States
USA,2013,6.921,20.4832955299099,United States
USA,2014,6.978,21.0076984289538,United States
USA,2015,7.042,21.5197559000692,United States
USA,2016,7.158,22.0373346516862,United States
USA,2017,7.103,22.5932962845748,United States
USA,2018,7.053,23.1963174833129,United States
USA,2019,7.103,23.8484503417279,United States
USA,2020,7.434,24.5240791836459,United States
USA,2021,7.209,25.1969129173767,United States
USA,2022,7.162,25.9509134829008,United States
USA,2023,7.384,26.8291040414794,United States
